"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-18","11.41",",,W","0.00",",,W,2400","0.0",",,W","55","H,,S","76",",,W","41",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-19","9.62",",,W","0.01",",,W,2400","0.0",",,W","65","H,,S","70",",,W","45",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-20","14.99",",,W","0.00","T,,W,2400","0.0",",,W","56","H,,S","73",",,W","48",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-21","12.53",",,W","0.00",",,W,2400","0.0",",,W","50","H,,S","53",",,W","44",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-22","8.50",",,W","0.00",",,W,2400","0.0",",,W","50","H,,S","60",",,W","38",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-23","5.82",",,W","0.00",",,W,2400","0.0",",,W","54","H,,S","72",",,W","37",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-24","7.61",",,W","0.00",",,W,2400","0.0",",,W","55","H,,S","73",",,W","40",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-25","12.08",",,W","0.00",",,W,2400","0.0",",,W","64","H,,S","79",",,W","52",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-26","11.41",",,W","0.22",",,W,2400","0.0",",,W","69","H,,S","74",",,W","60",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-27","15.88",",,W","0.14",",,W,2400","0.0",",,W","54","H,,S","62",",,W","41",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-28","7.61",",,W","0.00","T,,W,2400","0.0",",,W","48","H,,S","60",",,W","40",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-29","18.79",",,W","1.95",",,W,2400","0.0",",,W","45","H,,S","46",",,W","40",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-04-30","13.42",",,W","1.32",",,W,2400","0.0",",,W","44","H,,S","47",",,W","42",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-05-01","14.76",",,W","0.09",",,W,2400","0.0",",,W","50","H,,S","57",",,W","45",",,W"
